0,0
11.5,-90
23,-90
34.5,-90
-46,67.5
-46,45
-57.5,45
-69,54
-80.5,54
-92,54
-103.5,54
-115,54
-115,72
-103.5,72
-92,72
-80.5,72
-69,72
-57.5,67.5
46,-90
57.5,-90
69,-90
80.5,-90
92,-90
103.5,-90
115,-90
115,-72
103.5,-72
92,-72
80.5,-72
69,-72
57.5,-67.5
46,-67.5
11.5,-18
23,-45
46,-45
57.5,-45
69,-54
80.5,-54
92,-54
103.5,-54
115,-54
103.5,-36
92,-36
80.5,-36
69,-36
92,-18
80.5,-18
69,-18
57.5,-22.5
46,-22.5
34.5,-30
23,0
34.5,0
46,0
57.5,0
69,0
80.5,0
92,0
92,18
80.5,18
69,18
57.5,22.5
46,22.5
34.5,30
11.5,54
23,45
46,45
57.5,45
69,36
80.5,36
92,36
92,54
80.5,54
69,54
34.5,60
46,67.5
57.5,67.5
69,72
80.5,72
92,72
92,90
80.5,90
69,90
57.5,90
46,90
34.5,90
23,90
-34.5,-60
-46,-67.5
-57.5,-67.5
-69,-72
-80.5,-72
-92,-72
-92,-54
-80.5,-54
-69,-54
-11.5,-54
-23,-45
-46,-45
-57.5,-45
-69,-36
-80.5,-36
-92,-36
-92,-18
-80.5,-18
-69,-18
-57.5,-22.5
-46,-22.5
-34.5,-30
-23,0
-11.5,18
-23,45
-34.5,30
-34.5,0
-46,0
-57.5,0
-69,0
-80.5,0
-92,0
-92,18
-80.5,18
-69,18
-57.5,22.5
-46,22.5
-69,36
-80.5,36
-92,36
-103.5,36
